"Reference","year","sgyear","FLUCCSCODE","acres","areas","mngacre","lon","lat"
"TBM1998040901","1998","1999",NA,NA,1,2562.96202518648,-82.4333330000018,27.9383330000031
"TBM1998071002","1998","1999",NA,NA,1,2562.96202518648,-82.4195000000018,27.9413330000031
"TBM1998090408","1998","1999",NA,NA,1,2562.96202518648,-82.4173330000018,27.9371670000031
"TBM1998100604","1998","1999",NA,NA,1,2562.96202518648,-82.4285000000018,27.9323330000031
"TBM1998100605","1998","1999",NA,NA,1,2562.96202518648,-82.4165000000018,27.9281670000031
"TBM1998100607","1998","1999",NA,NA,1,2562.96202518648,-82.4171670000018,27.9281670000031
"TBM1998100609","1998","1999",NA,NA,1,2562.96202518648,-82.4173330000018,27.9341670000031
"TBM1998110202","1998","1999",NA,NA,1,2562.96202518648,-82.4168330000018,27.9348330000031
"TBM1998021003","1998","1999",NA,NA,2,6307.61760928978,-82.4641670000018,27.9370000000031
"TBM1998051103","1998","1999",NA,NA,2,6307.61760928978,-82.4751670000018,27.9286670000031
"TBM1998051105","1998","1999",NA,NA,2,6307.61760928978,-82.4811670000018,27.8906670000031
"TBM1998061001","1998","1999",NA,NA,2,6307.61760928978,-82.4885000000018,27.9091670000031
"TBM1998061003","1998","1999",NA,NA,2,6307.61760928978,-82.4793330000018,27.9248330000031
"TBM1998071316","1998","1999",9121,30.7845666442677,2,6307.61760928978,-82.4896670000018,27.9091670000031
"TBM1998081404","1998","1999",NA,NA,2,6307.61760928978,-82.4858330000018,27.8976670000031
"TBM1998081405","1998","1999",NA,NA,2,6307.61760928978,-82.4763330000018,27.9290000000031
"TBM1998090410","1998","1999",NA,NA,2,6307.61760928978,-82.4820000000018,27.9255000000031
"TBM1998090411","1998","1999",NA,NA,2,6307.61760928978,-82.4463330000018,27.9120000000031
"TBM1998100602","1998","1999",NA,NA,2,6307.61760928978,-82.4625000000018,27.9098330000031
"TBM1998120301","1998","1999",NA,NA,2,6307.61760928978,-82.4766670000018,27.9281670000031
"TBM1998010926","1998","1999",NA,NA,3,3127.98017089497,-82.4053330000018,27.8623330000031
"TBM1998031005","1998","1999",NA,NA,3,3127.98017089497,-82.4193330000018,27.8910000000031
"TBM1998031008","1998","1999",NA,NA,3,3127.98017089497,-82.4138330000018,27.8936670000031
"TBM1998061005","1998","1999",NA,NA,3,3127.98017089497,-82.4063330000018,27.8725000000031
"TBM1998120307","1998","1999",NA,NA,3,3127.98017089497,-82.3878330000018,27.8596670000031
"TBM1998031003","1998","1999",NA,NA,4,4539.46388808374,-82.4835000000018,27.8773330000031
"TBM1998081403","1998","1999",NA,NA,4,4539.46388808374,-82.4726670000018,27.8488330000031
"TBM1998090401","1998","1999",NA,NA,4,4539.46388808374,-82.4811670000018,27.8811670000031
"TBM1998010929","1998","1999",NA,NA,5,3521.78211000489,-82.4008330000018,27.8315000000031
"TBM1998040904","1998","1999",NA,NA,5,3521.78211000489,-82.4191670000018,27.8455000000031
"TBM1998070702","1998","1999",NA,NA,5,3521.78211000489,-82.4030000000018,27.8136670000031
"TBM1998071312","1998","1999",NA,NA,5,3521.78211000489,-82.3961670000018,27.8311670000031
"TBM1998110414","1998","1999",NA,NA,5,3521.78211000489,-82.3996670000018,27.8525000000031
"TBM1998010920","1998","1999",NA,NA,6,20137.8629976865,-82.4255000000018,27.7863330000031
"TBM1998022015","1998","1999",NA,NA,6,20137.8629976865,-82.4771670000018,27.7296670000031
"TBM1998022501","1998","1999",NA,NA,6,20137.8629976865,-82.4245000000018,27.7876670000031
"TBM1998022503","1998","1999",NA,NA,6,20137.8629976865,-82.4431670000018,27.7633330000031
"TBM1998031705","1998","1999",NA,NA,6,20137.8629976865,-82.4215000000018,27.7916670000031
"TBM1998041302","1998","1999",NA,NA,6,20137.8629976865,-82.4818330000018,27.7243330000031
"TBM1998041304","1998","1999",NA,NA,6,20137.8629976865,-82.4500000000018,27.7593330000031
"TBM1998041306","1998","1999",NA,NA,6,20137.8629976865,-82.4341670000018,27.7745000000031
"TBM1998051901","1998","1999",NA,NA,6,20137.8629976865,-82.4791670000018,27.7391670000031
"TBM1998051902","1998","1999",NA,NA,6,20137.8629976865,-82.4613330000018,27.7475000000031
"TBM1998061102","1998","1999",NA,NA,6,20137.8629976865,-82.4195000000018,27.7928330000031
"TBM1998082003","1998","1999",NA,NA,6,20137.8629976865,-82.4755000000018,27.7191670000031
"TBM1998082004","1998","1999",NA,NA,6,20137.8629976865,-82.4083330000018,27.7908330000031
"TBM1998091501","1998","1999",NA,NA,6,20137.8629976865,-82.4856670000018,27.7195000000031
"TBM1998110209","1998","1999",NA,NA,6,20137.8629976865,-82.4580000000018,27.7516670000031
"TBM1998110210","1998","1999",NA,NA,6,20137.8629976865,-82.4583330000018,27.7516670000031
"TBM1998111206","1998","1999",NA,NA,6,20137.8629976865,-82.4808330000018,27.7446670000031
"TBM1998120910","1998","1999",NA,NA,6,20137.8629976865,-82.4361670000018,27.7753330000031
"TBM1998120912","1998","1999",NA,NA,6,20137.8629976865,-82.4425000000018,27.7660000000031
"TBM1998121501","1998","1999",NA,NA,6,20137.8629976865,-82.4798330000018,27.7226670000031
"TBM1998032301","1998","1999",NA,NA,7,12684.4477677458,-82.5016670000018,27.7183330000031
"TBM1998041402","1998","1999",9116,937.327046667071,7,12684.4477677458,-82.5165000000018,27.7055000000031
"TBM1998062202","1998","1999",9113,1112.69726502785,7,12684.4477677458,-82.5493330000018,27.6543330000031
"TBM1998071404","1998","1999",9113,1112.69726502785,7,12684.4477677458,-82.5015000000018,27.7173330000031
"TBM1998091505","1998","1999",NA,NA,7,12684.4477677458,-82.4986670000018,27.6815000000031
"TBM1998120306","1998","1999",9113,1112.69726502785,7,12684.4477677458,-82.5271670000018,27.6925000000031
"TBM1998120308","1998","1999",9113,1112.69726502785,7,12684.4477677458,-82.5271670000018,27.6925000000031
"TBM1998012603","1998","1999",NA,NA,7,12684.4477677458,-82.5635000000018,27.6388330000031
"TBM1998101409","1998","1999",NA,NA,7,12684.4477677458,-82.5508330000018,27.6508330000031
"TBM1998011502","1998","1999",NA,NA,8,21773.0556474156,-82.6361670000018,27.548000000003
"TBM1998021104","1998","1999",NA,NA,8,21773.0556474156,-82.5646670000018,27.6311670000031
"TBM1998031603","1998","1999",NA,NA,8,21773.0556474156,-82.6173330000018,27.5850000000031
"TBM1998031604","1998","1999",NA,NA,8,21773.0556474156,-82.5728330000018,27.6186670000031
"TBM1998041407","1998","1999",9116,2270.88110000179,8,21773.0556474156,-82.5498330000018,27.6031670000031
"TBM1998042102","1998","1999",NA,NA,8,21773.0556474156,-82.6188330000018,27.5685000000031
"TBM1998052007","1998","1999",9113,1490.55688662235,8,21773.0556474156,-82.6088330000018,27.5751670000031
"TBM1998052202","1998","1999",9116,2270.88110000179,8,21773.0556474156,-82.5816670000018,27.5905000000031
"TBM1998052203","1998","1999",9113,1490.55688662235,8,21773.0556474156,-82.5655000000018,27.6225000000031
"TBM1998061201","1998","1999",NA,NA,8,21773.0556474156,-82.6345000000018,27.5525000000031
