Reference,Project_1,Project_2,Project_3,Stratum,Gear,Rep,Longitude,Latitude,StartDepth,Zone,Grid,Secchi_on_bottom,Secchi_depth,SAM,BottomVegCover,Seagrass_habitat_descriptor,Distance_to_edge,TotalShoreCover,Total_Over_Site,Intermittent_land,Dist_to_Shore,Dist_to_ShoreType,Dist_to_MHTM,BycatchQuantity,BankDistance,ShoreDistance,Historic_Reference,starttime,date,month,year,gr,effort,slope,Season,TBEP_seg,ScoreNumTaxa,ScoreShannon,ScoreTaxaSelect,ScoreTaxaBenthic,ScoreNumGuilds,TBNI_Score,sgyear,FLUCCSCODE,acres,areas,mngacre
TBM1998010906,AM,,,B,20,1,-82.720833,27.950333,0.6,A,31,YES,0.6,,0,,,,,,,,,0,99,99,TBM980053,9:12:00,09JAN1998,1,1998,20,1.4,0,Winter,OTB,2,2,0,0,5,18,1999,NA,NA,22,5889.9419909
TBM1998010910,AM,,,B,20,1,-82.684,27.922167,0.8,A,62,YES,0.8,,0,,,,,,,,,0,99,99,TBM980011,9:36:00,09JAN1998,1,1998,20,1.4,0,Winter,OTB,1,0,3,1,2,14,1999,NA,NA,21,6230.095118
TBM1998010912,AM,,,B,20,1,-82.673667,27.917,0.7,A,63,NO,0.7,,0,,,,,,,,,0,99,99,TBM980012,9:54:00,09JAN1998,1,1998,20,1.4,0,Winter,OTB,0,0,0,0,0,0,1999,NA,NA,21,6230.095118
TBM1998010914,AM,,,B,20,1,-82.6405,27.921167,0.9,A,65,YES,0.9,,10,,,,,,,,,0,99,99,TBM980013,10:10:00,09JAN1998,1,1998,20,1.4,0,Winter,OTB,2,4,0,2,2,20,1999,NA,NA,21,6230.095118
TBM1998010915,AM,,,B,20,1,-82.4885,27.819167,0.5,C,162,YES,0.5,,0,,,,,,,,,0,20,17,TBM980008,10:12:00,09JAN1998,1,1998,20,1.4,0,Winter,MTB,4,7,3,4,5,46,1999,9113,511.366301133324,27,11366.086965
TBM1998010926,AM,,,B,20,1,-82.405333,27.862333,0.9,C,135,NO,0.5,,0,,,,,,,,,0,99,99,TBM980026,11:57:00,09JAN1998,1,1998,20,1.4,0,Winter,HB,4,5,3,2,10,48,1999,NA,NA,3,3127.9801709
TBM1998010928,AM,,,B,20,1,-82.424667,27.875667,0.9,C,121,NO,0.5,,0,,,,,,,,,0,10,10,TBM980027,12:35:00,09JAN1998,1,1998,20,1.4,0.2,Winter,HB,1,0,0,1,2,8,1999,NA,NA,29,2277.8200299
TBM1998010929,AM,,,B,20,1,-82.400833,27.8315,0.7,C,167,NO,0.5,,0,,,,,,,,,0,99,99,TBM980028,13:00:00,09JAN1998,1,1998,20,1.4,0,Winter,HB,0,0,0,0,0,0,1999,NA,NA,5,3521.78211
TBM1998011202,AM,,,B,20,1,-82.618833,27.848333,0.7,B,137,YES,0.7,,0,,,,,,,,,0,99,45,TBM980016,10:16:00,12JAN1998,1,1998,20,1.4,0.3,Winter,MTB,0,0,0,0,0,0,1999,NA,NA,19,8681.7103268
TBM1998011502,AM,,,A,20,1,-82.636167,27.548,0.9,E,413,YES,0.9,,60,,,,,,,,,0,99,99,TBM980043,9:08:00,15JAN1998,1,1998,20,1.4,0,Winter,LTB,2,6,0,2,5,30,1999,NA,NA,8,21773.055647
