NODCCODE,TSN,spp_code,Scientificname,Commonname,Manufactured_nodccode,Manufactured_tsn,spp_code_old
0,0,No gear set,No gear set,No gear set,1,1,No gear set
1,1,Unreadable Camera Set,Unreadable Camera Set,Unreadable Camera Set,1,1,Unreadable Camera Set
2,2,Bait Lost,Bait Lost (No Fish; passive H&L),Bait Lost (No Fish; passive H&L),1,1,Bait Lost
3,3,Bait Remain,Bait Remain (No Fish; passive H&L),Bait Remain (No Fish; passive H&L),1,1,Bait Remaining
4,4,No Bait,No Bait (No Fish; passive H&L),No Bait (No Fish; passive H&L),1,1,No Bait Remaining
5,5,Hook Lost,Hook Lost (No Fish; passive H&L),Hook Lost (No Fish; passive H&L),1,1,Hook Lost
6,6,Gear lost,Gear lost,Gear lost,1,1,Gear lost
1111000000,1111,Non-standard work up,Non-standard work up,Non-standard work up,1,1,Non-standard work up
3737040300,51925,Stomolophus spp.,Stomolophus spp.,Cannonball Jellyfish,0,0,Stomolophus spp.
3737040301,51926,Sto. meleagris,Stomolophus meleagris,Cannonball Jellyfish,0,0,S. meleagris
5124000000,78015,Anaspidea spp.,Anaspidea spp.,Sea Hare,0,0,Anaspidea spp.
5509050000,79611,Pectinidae spp.,Pectinidae spp.,Scallops,0,0,Pectinidae spp.
5509051200,79732,Argopecten spp.,Argopecten spp.,Scallops,0,0,Argopecten spp.
5509051201,79734,Arg. gibbus,Argopecten gibbus,Atlantic Calico Scallop,0,0,A. gibbus
5509051202,79737,Arg. irradians,Argopecten irradians,Bay Scallop,0,0,A. irradians
5509051203,79742,Arg. nucleus,Argopecten nucleus,Nucleus Scallop,0,0,A. nucleus
5515470000,81439,Veneridae spp.,Veneridae spp.,venus clams,0,0,Veneridae spp.
5515471100,81495,Mercenaria spp.,Mercenaria spp.,quahogs,0,0,Mercenaria spp.
5515471101,81496,Mer. mercenaria,Mercenaria mercenaria,Northern Quahog,0,0,Mer. mercenaria
5515471102,81499,Mer. campechiensis,Mercenaria campechiensis,Southern Quahog,0,0,M. campechiensis
5706010000,82369,Loliginidae spp.,Loliginidae spp.,Squid,0,0,Lolinginidae spp.
5706010100,82370,Loligo spp.,Loligo spp.,Squid,0,0,Loligo spp.
5708010200,82595,Octopus spp.,Octopus spp.,Octopus,0,0,Octopus spp.
5802010000,82701,Limulidae spp.,Limulidae spp.,horseshoe crabs,0,0,Limulidae spp.
5802010100,82702,Limulus spp.,Limulus spp.,horseshoe crabs,0,0,Limulus spp.
5802010101,82703,Lim. polyphemus,Limulus polyphemus,Horseshoe Crab,0,0,L. polyphemus
6177010000,95602,Penaeidae spp.,Penaeidae spp.,Penaeid Shrimps,0,0,Penaeidae spp.
6177010100,95604,Farfantepenaeus spp.,Farfantepenaeus spp.,Commercial Shrimps,0,0,Farfantepenaeus spp.
6177010101,551570,Far. aztecus,Farfantepenaeus aztecus,Brown Shrimp,0,0,F. aztecus
6177010102,551574,Far. duorarum,Farfantepenaeus duorarum,Pink Shrimp,0,0,F. duorarum
6177010103,551680,Lit. setiferus,Litopenaeus setiferus,White Shrimp,0,0,L. setiferus
6177010104,551571,Far. brasiliensis,Farfantepenaeus brasiliensis,Caribbean Brown Shrimp,0,0,F. brasiliensis
6177010106,551575,Far. notialis,Farfantepenaeus notialis,Southern Pink Shrimp,0,0,F. notialis
6177010120,95638,Pen. monodon,Penaeus monodon,Giant Tiger Prawn,0,0,P. monodon
6177010200,551562,Rimapenaeus spp.,Rimapenaeus spp.,roughneck shrimp,0,0,Rimapenaeus spp.
6177010201,551662,Rim. constrictus,Rimapenaeus constrictus,Roughneck Shrimp,0,0,R. constrictus
6177010202,551666,Rim. similis,Rimapenaeus similis,Yellow Roughneck Shrimp,1,0,R. similis
6177010700,95749,Xiphopenaeus spp.,Xiphopenaeus spp.,Seabob,0,0,Xiphopenaeus spp.
6177010701,95750,Xip. kroyeri,Xiphopenaeus kroyeri,Atlantic Seabob,0,0,X. kroyeri
6177040000,96026,Sicyoniidae spp.,Sicyoniidae spp.,rock shrimp,0,0,Sicyoniidae spp.
6177040100,96027,Sicyonia spp.,Sicyonia spp.,Rock Shrimp,0,0,Sicyonia spp.
6177040101,96028,Sic. brevirostris,Sicyonia brevirostris,Rock Shrimp,0,0,S. brevirostris
6177040102,96030,Sic. dorsalis,Sicyonia dorsalis,Lesser Rock Shrimp,0,0,Si. dorsalis
6177040103,96031,Sic. typica,Sicyonia typica,Kinglet Rock Shrimp,0,0,S. typica
6177040104,96033,Sic. laevigata,Sicyonia laevigata,Hardback,0,0,S. laevigata
6177040106,96035,Sic. stimpsoni,Sicyonia stimpsoni,Eyespot Rock Shrimp,0,0,S. stimpsoni
6177040107,96036,Sic. parri,Sicyonia parri,Rock Shrimp,0,0,S. parri
6179110000,96213,Palaemonidae spp.,Palaemonidae spp.,grass shrimp,0,0,Palaemonidae spp.
6179110100,96214,Leander spp.,Leander spp.,grass shrimp,0,0,Leander spp.
6179110101,96215,Lea. tenuicornis,Leander tenuicornis,Brown Grass Shrimp,0,0,L. tenuicornis
6179110105,96219,Lea. paulensis,Leander paulensis,Red-algae Shrimp,0,0,L. paulensis
6179110200,96220,Macrobrachium spp.,Macrobrachium spp.,Prawns,0,0,Macrobrachium spp.
6179110201,96221,Mac. ohione,Macrobrachium ohione,Ohio Shrimp,0,0,M. ohione
6179110202,96225,Mac. acanthurus,Macrobrachium acanthurus,Cinnamon River Shrimp,0,0,Mac. acanthurus
6179110300,96383,Palaemonetes spp.,Palaemonetes spp.,Grass Shrimp,0,0,Palaemonetes spp.
