Reference,month,year,gr,Season,TBEP_seg,sgyear,FLUCCSCODE,areas,bottom,DominantVeg,bveg,Shore,BvegCovBin,StartDepth,BottomVegCover,BycatchQuantity,slope,ScoreNumTaxa,ScoreShannon,ScoreTaxaSelect,ScoreTaxaBenthic,ScoreNumGuilds,TBNI_Score,acres,Non,HA,TH,SAV,Alg,RU,temperature,salinity,dissolvedO2,Aca_quadricornis,Ach_lineatus,Achiridae_spp,Adi_xenica,Aet_narinari,Albula_spp,Alu_schoepfii,Ana_criniger,Anc_cubana,Anc_hepsetus,Anc_lyolepis,Anc_mitchilli,Anchoa_spp,Arc_probatocephalus,Argopecten_spp,Ari_felis,Ast_y_graecum,Bag_marinus,Bai_chrysoura,Bat_soporator,Bathygobius_spp,Brevoortia_spp,Cal_arctifrons,Cal_ornatus,Cal_penna,Cal_sapidus,Cal_similis,Calamus_spp,Callinectes_spp,Car_hippos,Car_leucas,Car_limbatus,Cen_striata,Cen_undecimalis,Cha_faber,Cha_saburrae,Chi_schoepfii,Chl_chrysurus,Cit_macrops,Clupeidae_spp,Cte_boleosoma,Cte_smaragdus,Cyn_arenarius,Cyn_nebulosus,Cyp_variegatus,Dac_moorei,Dactyloscopidae_spp,Das_americana,Das_sabina,Das_say,Dia_auratus,Diapterus_spp,Dip_formosum,Dip_holbrookii,Dor_petenense,Ech_neucratoides,Elo_saurus,Elo_smithi,Elopiformes_spp,Etr_crossotus,Euc_argenteus,Euc_gula,Euc_harengulus,Eucinostomus_spp,Eug_plumieri,Far_duorarum,Flo_carpio,Fun_confluentus,Fun_grandis,Fun_similis,Gob_bosc,Gob_longipala,Gob_robustum,Gob_strumosus,Gobiosoma_spp,Gym_micrura,Hae_aurolineatum,Hae_plumierii,Har_jaguana,Hem_balao,Hemiramphidae_spp,Hemiramphus_spp,Hip_erectus,Hip_zosterae,Hippocampus_spp,Hyp_hentz,Hyp_meeki,Hyp_unifasciatus,Hyporhamphus_spp,Lactophrys_spp,Lag_rhomboides,Lei_xanthurus,Lep_osseus,Lim_polyphemus,Lop_cyprinoides,Luc_parva,Lut_analis,Lut_griseus,Lut_synagris,Mem_martinica,Men_americanus,Men_saxatilis,Menidia_spp,Menippe_spp,Menticirrhus_spp,Mic_gulosus,Mic_thalassinus,Mic_undulatus,Mon_ciliatus,Mug_cephalus,Mug_curema,Mug_trichodon,Mugil_spp,Myc_microlepis,Myr_punctatus,Nic_usta,Ogc_cubifrons,Oli_saurus,Opi_oglinum,Ops_beta,Ore_aureus,Oreo_Saroth_spp,Ort_chrysoptera,Ostraciidae_spp,Par_albigutta,Par_marmoratus,Penaeidae_spp,Pep_paru,Poe_latipinna,Pog_cromis,Pom_saltatrix,Portunus_spp,Pri_scitulus,Pri_tribulus,Rhi_bonasus,Rim_constrictus,Rimapenaeus_spp,Sar_aurita,Sar_melanotheron,Sci_ocellatus,Sciaenidae_spp,Sco_brasiliensis,Sco_maculatus,Sel_vomer,Sph_barracuda,Sph_borealis,Sph_nephelus,Sph_spengleri,Sph_tiburo,Sphoeroides_spp,Ste_hispidus,Ste_setifer,Str_marina,Str_notata,Str_timucu,Strongylura_spp,Sym_plagiusa,Syn_floridae,Syn_foetens,Syn_louisianae,Syn_scovelli,Syngnathidae_spp,Synodontidae_spp,Tra_carolinus,Tra_falcatus,Tri_maculatus,Tyl_crocodilus,Uro_floridana
TBM1998010906,1,1998,20,Winter,OTB,1999,NA,22,MudSan,None,Non,ManTer,0-25,0.6,0,0,0,2,2,0,0,5,18,0,1,0,0,0,0,0,19.9,13.1,5.5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998010910,1,1998,20,Winter,OTB,1999,NA,21,MudSan,None,Non,Man,0-25,0.8,0,0,0,1,0,3,1,2,14,0,1,0,0,0,0,0,19.6,13.4,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998010912,1,1998,20,Winter,OTB,1999,NA,21,MudSan,None,Non,Man,0-25,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.3,13.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998010914,1,1998,20,Winter,OTB,1999,NA,21,MudSan,Halodule spp.,SAV,Man,0-25,0.9,10,0,0,2,4,0,2,2,20,0,0,10,0,0,0,0,19.3,13.4,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TBM1998010915,1,1998,20,Winter,MTB,1999,9113,27,San,None,Non,Man,0-25,0.5,0,0,0,4,7,3,4,5,46,511.3663011,1,0,0,0,0,0,19.5,13.3,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998010926,1,1998,20,Winter,HB,1999,NA,3,San,None,Non,Non,0-25,0.9,0,0,0,4,5,3,2,10,48,0,1,0,0,0,0,0,20.5,6.6,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TBM1998010928,1,1998,20,Winter,HB,1999,NA,29,San,None,Non,Man,0-25,0.9,0,0,0.2,1,0,0,1,2,8,0,1,0,0,0,0,0,20.5,10.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998010929,1,1998,20,Winter,HB,1999,NA,5,San,None,Non,Non,0-25,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.9,9.1,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998011202,1,1998,20,Winter,MTB,1999,NA,19,MudSan,None,Non,Man,0-25,0.7,0,0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,19.2,11.4,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBM1998011502,1,1998,20,Winter,LTB,1999,NA,8,San,Thalassia spp.,SAV,Non,51-75,0.9,60,0,0,2,6,0,2,5,30,0,0,0,60,0,0,0,18.6,27.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
