Reference,month,year,gr,Season,TBEP_seg,sgyear,FLUCCSCODE,areas,bottom,DominantVeg,bveg,Shore,bay_TBEPseg_season,bay_TBEPseg_sgyr,bay_TBEPseg_sgyr_season,BvegCovBin
TBM1998010906,1,1998,20,Winter,OTB,1999,NA,22,MudSan,None,Non,19.9,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998010910,1,1998,20,Winter,OTB,1999,NA,21,MudSan,None,Non,19.6,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998010912,1,1998,20,Winter,OTB,1999,NA,21,MudSan,None,Non,19.3,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998010914,1,1998,20,Winter,OTB,1999,NA,21,MudSan,Halodule spp.,SAV,19.3,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998010915,1,1998,20,Winter,MTB,1999,9113,27,San,None,Non,19.5,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998010926,1,1998,20,Winter,HB,1999,NA,3,San,None,Non,20.5,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998010928,1,1998,20,Winter,HB,1999,NA,29,San,None,Non,20.5,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998010929,1,1998,20,Winter,HB,1999,NA,5,San,None,Non,20.9,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998011202,1,1998,20,Winter,MTB,1999,NA,19,MudSan,None,Non,19.2,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998011502,1,1998,20,Winter,LTB,1999,NA,8,San,Thalassia spp.,SAV,18.6,LTB_Winter,LTB_1999,LTB_1999        _Winter,51-75
TBM1998012107,1,1998,20,Winter,MTB,1999,9113,19,San,Halodule spp.,SAV,17,MTB_Winter,MTB_1999,MTB_1999        _Winter,0-25
TBM1998012115,1,1998,20,Winter,MTB,1999,9113,18,San,Halodule spp.,SAV,17.6,MTB_Winter,MTB_1999,MTB_1999        _Winter,26-50
TBM1998012603,1,1998,20,Winter,LTB,1999,NA,7,San,None,Non,18,LTB_Winter,LTB_1999,LTB_1999        _Winter,0-25
TBM1998021003,2,1998,20,Winter,HB,1999,NA,2,MudSan,None,Non,15.5,HB_Winter,HB_1999,HB_1999         _Winter,0-25
TBM1998021104,2,1998,20,Winter,LTB,1999,NA,8,San,None,Non,17.7,LTB_Winter,LTB_1999,LTB_1999        _Winter,0-25
TBM1998021201,2,1998,20,Winter,MTB,1999,NA,19,MudSan,Halodule spp.,SAV,17.3,MTB_Winter,MTB_1999,MTB_1999        _Winter,51-75
TBM1998021202,2,1998,20,Winter,OTB,1999,9116,19,San,Thalassia spp.,SAV,16.4,OTB_Winter,OTB_1999,OTB_1999        _Winter,76-100
TBM1998021203,2,1998,20,Winter,OTB,1999,NA,23,MudSan,None,Non,17.3,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998021204,2,1998,20,Winter,OTB,1999,9113,23,MudSan,None,Non,18,OTB_Winter,OTB_1999,OTB_1999        _Winter,0-25
TBM1998021205,2,1998,20,Winter,OTB,1999,NA,21,San,Halodule spp.,SAV,19.2,OTB_Winter,OTB_1999,OTB_1999        _Winter,51-75
TBM1998021206,2,1998,20,Winter,OTB,1999,9113,22,San,Halodule spp.,SAV,19,OTB_Winter,OTB_1999,OTB_1999        _Winter,26-50
