bio_reference,species,sl,COUNT,nl
TBM1998010906,8747020202,23,1,13
TBM1998010906,8747020202,24,6,13
TBM1998010906,8747020202,25,1,13
TBM1998010906,8747020202,26,1,13
TBM1998010906,8747020202,27,1,13
TBM1998010906,8747020202,28,2,13
TBM1998010906,8747020202,29,1,13
TBM1998010906,8805020300,62,1,2
TBM1998010906,8805020300,78,1,2
TBM1998010910,6177010102,11,1,1
TBM1998010914,8820020113,56,1,1
TBM1998010914,8826020104,29,1,1
TBM1998010915,8804040101,31,1,1
TBM1998010915,8804040501,21,1,5
TBM1998010915,8804040501,22,1,5
TBM1998010915,8804040501,24,1,5
TBM1998010915,8804040501,26,1,5
TBM1998010915,8804040501,27,1,5
TBM1998010915,8835430201,16,1,1
TBM1998010915,8835440401,16,1,4
TBM1998010915,8835440401,17,1,4
TBM1998010915,8835440401,18,1,4
TBM1998010915,8835440401,19,1,4
TBM1998010926,8747010803,68,2,10
TBM1998010926,8747010803,69,2,10
TBM1998010926,8747010803,72,2,10
TBM1998010926,8747010803,73,1,10
TBM1998010926,8747010803,74,1,10
TBM1998010926,8747010803,76,1,10
TBM1998010926,8747010803,78,1,10
TBM1998010926,8777180202,280,1,1
TBM1998010926,8836010101,24,1,1
TBM1998010926,8858030101,21,1,1
TBM1998010928,8713070301,654,1,1
TBM1998011502,8820020102,115,1,1
TBM1998011502,8840130204,57,1,1
TBM1998011502,8860020703,42,1,1
TBM1998012107,8805020300,70,1,1
TBM1998012107,8835390100,15,1,3
TBM1998012107,8835390100,17,1,3
TBM1998012107,8835390100,18,1,3
TBM1998012115,8835390100,16,1,10
TBM1998012115,8835390100,17,1,10
TBM1998012115,8835390100,20,1,10
TBM1998012115,8835390100,21,2,10
TBM1998012115,8835390100,22,1,10
TBM1998012115,8835390100,23,1,10
TBM1998012115,8835390100,26,1,10
TBM1998012115,8835390100,28,1,10
TBM1998012115,8835390100,31,1,10
TBM1998012115,8835430201,12,1,16
TBM1998012115,8835430201,14,3,16
TBM1998012115,8835430201,15,4,16
TBM1998012115,8835430201,16,6,16
TBM1998012115,8835430201,17,1,16
TBM1998012115,8835430201,19,1,16
TBM1998012115,8835440401,13,2,21
TBM1998012115,8835440401,14,4,21
TBM1998012115,8835440401,15,3,21
TBM1998012115,8835440401,16,1,21
TBM1998012115,8835440401,17,4,21
TBM1998012115,8835440401,18,5,21
TBM1998012115,8835440401,19,1,21
TBM1998012115,8835440401,21,1,21
TBM1998012603,8820020113,57,1,1
TBM1998012603,8835430201,18,1,1
TBM1998021003,6189010301,24,1,3
TBM1998021003,6189010301,28,1,3
TBM1998021003,6189010301,30,1,3
TBM1998021003,8805020300,43,1,10
TBM1998021003,8805020300,46,1,10
TBM1998021003,8805020300,47,1,10
TBM1998021003,8805020300,48,1,10
TBM1998021003,8805020300,51,1,10
TBM1998021003,8805020300,54,3,10
TBM1998021003,8805020300,55,1,10
TBM1998021003,8805020300,57,1,10
TBM1998021003,8835440401,18,1,3
TBM1998021003,8835440401,21,1,3
TBM1998021003,8835440401,22,1,3
TBM1998021104,8835430201,14,2,6
TBM1998021104,8835430201,16,2,6
TBM1998021104,8835430201,18,1,6
TBM1998021104,8835430201,21,1,6
TBM1998021104,8835440401,10,1,4
TBM1998021104,8835440401,12,1,4
TBM1998021104,8835440401,13,1,4
TBM1998021104,8835440401,18,1,4
TBM1998021201,6177010102,8,1,2
TBM1998021201,6177010102,9,1,2
TBM1998021201,6189010301,9,1,1
TBM1998021201,8805020300,58,1,2
TBM1998021201,8805020300,67,1,2
TBM1998021201,8835430201,12,1,8
TBM1998021201,8835430201,14,1,8
TBM1998021201,8835430201,15,3,8
TBM1998021201,8835430201,16,2,8
TBM1998021201,8835430201,18,1,8
TBM1998021201,8835440401,16,1,3
TBM1998021201,8835440401,17,2,3
TBM1998021201,8847010600,17,1,1
TBM1998021201,8847010701,21,1,12
TBM1998021201,8847010701,24,1,12
TBM1998021201,8847010701,27,1,12
TBM1998021201,8847010701,31,3,12
TBM1998021201,8847010701,36,1,12
TBM1998021201,8847010701,37,1,12
TBM1998021201,8847010701,39,1,12
TBM1998021201,8847010701,40,2,12
