Reference,Beg_end,Period,WindDirection,WindSpeed,CloudCover,Precipitation,Tide,Current,Flag
TBM1989032001,B,3,W,17,30,N,MF,,
TBM1989032001,E,3,W,10,60,N,LF,,
TBM1989032002,B,3,W,17,30,N,MF,,
TBM1989032002,E,3,W,10,60,N,LF,,
TBM1989032003,B,3,W,17,30,N,MF,,
TBM1989032003,E,3,W,10,60,N,LF,,
TBM1989032004,B,3,W,17,30,N,MF,,
TBM1989032004,E,3,W,10,60,N,LF,,
TBM1989032005,B,3,W,17,30,N,MF,,
TBM1989032005,E,3,W,10,60,N,LF,,
TBM1989032006,B,3,W,17,30,N,MF,,
TBM1989032006,E,3,W,10,60,N,LF,,
TBM1989032007,B,3,W,17,30,N,MF,,
TBM1989032007,E,3,W,10,60,N,LF,,
TBM1989032008,B,3,W,17,30,N,MF,,
TBM1989032008,E,3,SW,15,60,N,LF,,
TBM1989032009,B,3,W,17,30,N,MF,,
TBM1989032009,E,3,SW,15,60,N,LF,,
TBM1989032010,B,3,W,17,30,N,MF,,
TBM1989032010,E,3,SW,15,60,N,LF,,
TBM1989032011,B,3,W,17,30,N,MF,,
TBM1989032011,E,3,SW,15,60,N,LF,,
TBM1989032012,B,3,W,17,30,N,MF,,
TBM1989032012,E,3,SW,15,60,N,LF,,
TBM1989032013,B,4,SW,5,30,N,LS,,
TBM1989032013,E,4,W,5,60,N,MR,,
TBM1989032014,B,4,SW,5,30,N,LS,,
TBM1989032014,E,4,W,5,60,N,MR,,
TBM1989032015,B,4,SW,5,30,N,LS,,
TBM1989032015,E,4,W,5,60,N,MR,,
TBM1989032016,B,4,SW,5,30,N,LS,,
TBM1989032016,E,4,W,5,60,N,MR,,
TBM1989032017,B,4,SW,5,30,N,LR,,
TBM1989032017,E,4,W,5,60,N,MR,,
TBM1989032018,B,4,SW,5,30,N,LR,,
TBM1989032018,E,4,W,5,60,N,MR,,
TBM1989032019,B,4,SW,5,30,N,LR,,
TBM1989032019,E,4,W,5,60,N,MR,,
TBM1989032020,B,4,SW,5,30,N,LR,,
TBM1989032020,E,4,W,5,60,N,MR,,
TBM1989032021,B,4,SW,5,30,N,LR,,
TBM1989032021,E,4,SW,5,60,N,MR,,
TBM1989032022,B,4,SW,5,30,N,LR,,
TBM1989032022,E,4,SW,5,60,N,MR,,
TBM1989032023,B,4,SW,5,30,N,LR,,
TBM1989032023,E,4,SW,5,60,N,MR,,
TBM1989032024,B,4,SW,5,30,N,LR,,
TBM1989032024,E,4,SW,5,60,N,MR,,
TBM1989032101,B,3,SW,15,30,N,MF,,
TBM1989032101,E,3,.,,60,N,.,,
TBM1989032102,B,3,SW,15,30,N,MF,,
TBM1989032102,E,3,.,,60,N,.,,
TBM1989032103,B,3,SW,15,30,N,MF,,
TBM1989032103,E,3,.,,60,N,.,,
TBM1989032104,B,4,SW,15,30,N,LF,,
TBM1989032104,E,4,.,,60,N,.,,
TBM1989032105,B,4,SW,15,30,N,LF,,
TBM1989032105,E,4,.,,60,N,.,,
TBM1989032106,B,4,SW,15,30,N,LF,,
TBM1989032106,E,4,.,,60,N,.,,
TBM1989032107,B,4,S,10,30,N,LR,,
TBM1989032107,E,4,.,,60,N,.,,
TBM1989032108,B,4,S,10,30,N,LR,,
TBM1989032108,E,4,.,,60,N,.,,
TBM1989032109,B,4,S,10,30,N,LR,,
TBM1989032109,E,4,.,,60,N,.,,
TBM1989032110,B,4,SW,15,30,N,LR,,
TBM1989032110,E,4,.,,60,N,.,,
TBM1989032111,B,4,SW,15,30,N,LR,,
TBM1989032111,E,4,.,,60,N,.,,
TBM1989032112,B,4,SW,15,30,N,LR,,
TBM1989032112,E,4,.,,60,N,.,,
TBM1989032201,B,4,SW,10,30,N,MR,,
TBM1989032201,E,4,.,,60,N,.,,
TBM1989032202,B,4,SW,10,30,N,MR,,
TBM1989032202,E,4,.,,60,N,.,,
TBM1989032203,B,4,SW,10,30,N,MR,,
TBM1989032203,E,4,.,,60,N,.,,
TBM1989032204,B,3,W,15,30,N,MR,,
TBM1989032204,E,3,.,,60,N,.,,
TBM1989032205,B,3,W,10,30,N,MR,,
TBM1989032205,E,3,.,,60,N,.,,
TBM1989032206,B,3,W,10,30,N,MR,,
TBM1989032206,E,3,.,,60,N,.,,
TBM1989032207,B,3,W,10,30,N,HR,,
TBM1989032207,E,3,.,,60,N,.,,
TBM1989032208,B,3,W,10,30,N,HR,,
TBM1989032208,E,3,.,,60,N,.,,
TBM1989032209,B,3,W,10,30,N,HR,,
TBM1989032209,E,3,.,,60,N,.,,
TBM1989032210,B,4,W,10,30,N,HR,,
TBM1989032210,E,4,.,,60,N,.,,
TBM1989032211,B,4,W,10,30,N,HR,,
TBM1989032211,E,4,.,,60,N,.,,
TBM1989032212,B,4,W,10,30,N,HS,,
TBM1989032212,E,4,.,,60,N,.,,
TBM1989032213,B,4,W,10,30,N,HF,,
TBM1989032213,E,4,.,,60,N,.,,
TBM1989032214,B,4,W,10,30,N,HF,,
TBM1989032214,E,4,.,,60,N,.,,
TBM1989032215,B,4,W,10,30,N,HF,,
TBM1989032215,E,4,.,,60,N,.,,
TBM1989032216,B,4,W,12,30,N,HF,,
TBM1989032216,E,4,.,,60,N,.,,
TBM1989032217,B,4,W,15,30,N,HF,,
TBM1989032217,E,4,.,,60,N,.,,
TBM1989032301,B,4,W,12,30,N,HF,,
TBM1989032301,E,4,.,,60,N,.,,
TBM1989032701,B,1,0,0,30,N,HF,,
TBM1989032701,E,1,E,5,60,N,HF,,
TBM1989032702,B,1,0,0,30,N,HF,,
TBM1989032702,E,1,E,5,60,N,HF,,
TBM1989032703,B,1,0,0,30,N,HF,,
TBM1989032703,E,1,E,5,60,N,HF,,
TBM1989032704,B,1,0,0,30,N,HF,,
TBM1989032704,E,1,E,5,60,N,HF,,
TBM1989032705,B,2,E,5,30,N,HF,,
TBM1989032705,E,2,.,,60,N,.,,
TBM1989032706,B,2,NE,5,30,N,HF,,
TBM1989032706,E,2,.,,60,N,.,,
TBM1989032707,B,2,NE,5,30,N,LS,,
TBM1989032707,E,2,.,,60,N,.,,
TBM1989032708,B,2,.,,30,N,LR,,
TBM1989032708,E,2,.,,60,N,.,,
TBM1989032709,B,2,.,,30,N,LR,,
TBM1989032709,E,2,.,,60,N,.,,
TBM1989032710,B,2,.,,30,N,LR,,
TBM1989032710,E,2,.,,60,N,.,,
TBM1989032711,B,2,E,5,30,N,MR,,
TBM1989032711,E,2,.,,60,N,.,,
TBM1989032712,B,2,E,5,30,N,MR,,
TBM1989032712,E,2,.,,60,N,.,,
TBM1989032713,B,2,E,5,30,N,MR,,
TBM1989032713,E,2,.,,60,N,.,,
TBM1989032714,B,2,0,0,30,N,MR,,
TBM1989032714,E,2,.,,60,N,.,,
TBM1989032715,B,2,0,0,30,N,MR,,
TBM1989032715,E,2,.,,60,N,.,,
TBM1989032716,B,2,E,5,30,N,MR,,
TBM1989032716,E,2,.,,60,N,.,,
TBM1989032801,B,1,E,5,30,N,LR,,
TBM1989032801,E,1,E,5,60,N,LR,,
TBM1989032802,B,1,E,5,30,N,LR,,
TBM1989032802,E,1,E,5,60,N,LR,,
TBM1989032803,B,1,E,5,30,N,LR,,
TBM1989032803,E,1,E,5,60,N,LR,,
TBM1989032804,B,1,E,5,30,N,LR,,
TBM1989032804,E,1,E,5,60,N,LR,,
TBM1989032805,B,1,E,10,30,N,LR,,
TBM1989032805,E,1,.,,60,N,.,,
TBM1989032806,B,1,E,10,30,N,LR,,
TBM1989032806,E,1,.,,60,N,.,,
TBM1989032807,B,1,E,10,30,N,LR,,
TBM1989032807,E,1,.,,60,N,.,,
TBM1989032808,B,2,E,15,30,N,MR,,
TBM1989032808,E,2,.,,60,N,.,,
TBM1989032809,B,2,E,15,30,N,MR,,
TBM1989032809,E,2,.,,60,N,.,,
TBM1989032810,B,2,E,15,30,N,MR,,
TBM1989032810,E,2,.,,60,N,.,,
TBM1989032811,B,2,E,5,30,N,MR,,
TBM1989032811,E,2,.,,60,N,.,,
TBM1989032812,B,2,E,5,30,N,MR,,
TBM1989032812,E,2,.,,60,N,.,,
TBM1989032813,B,2,E,5,30,N,MR,,
TBM1989032813,E,2,.,,60,N,.,,
TBM1989032814,B,2,E,15,30,N,MR,,
TBM1989032814,E,2,.,,60,N,.,,
TBM1989032815,B,2,E,15,30,N,MR,,
TBM1989032815,E,2,.,,60,N,.,,
TBM1989032816,B,2,E,15,30,N,MR,,
TBM1989032816,E,2,.,,60,N,.,,
TBM1989032901,B,1,NE,5,30,N,LS,,
TBM1989032901,E,1,NE,5,60,N,LR,,
TBM1989032902,B,1,NE,5,30,N,LS,,
TBM1989032902,E,1,NE,5,60,N,LR,,
TBM1989032903,B,1,NE,5,30,N,LS,,
TBM1989032903,E,1,NE,5,60,N,LR,,
TBM1989032904,B,1,NE,5,30,N,LS,,
TBM1989032904,E,1,NE,5,60,N,LR,,
TBM1989032905,B,1,NE,5,30,N,LS,,
TBM1989032905,E,1,.,,60,N,.,,
TBM1989032906,B,1,NE,5,30,N,LS,,
TBM1989032906,E,1,.,,60,N,.,,
