"spp_code","HB_9113_sum","HB_9116_sum","HB_9121_sum","HB_NA_sum","LTB_9113_sum","LTB_9116_sum","LTB_NA_sum","MTB_9113_sum","MTB_9116_sum","MTB_9121_sum","MTB_NA_sum","OTB_9113_sum","OTB_9116_sum","OTB_9121_sum","OTB_NA_sum","HB_9113_mean","HB_9116_mean","HB_9121_mean","HB_NA_mean","LTB_9113_mean","LTB_9116_mean","LTB_NA_mean","MTB_9113_mean","MTB_9116_mean","MTB_9121_mean","MTB_NA_mean","OTB_9113_mean","OTB_9116_mean","OTB_9121_mean","OTB_NA_mean"
"Aca_quadricornis",2,0,0,1,21,45,31,18,48,0,10,36,41,1,25,0.017,0,0,0.002,0.106,0.128,0.13,0.04,0.121,0,0.019,0.07,0.097,0.037,0.041
"Ach_lineatus",78,13,1,137,30,12,9,81,83,4,129,138,73,5,161,0.667,0.228,0.083,0.207,0.151,0.034,0.038,0.181,0.21,0.667,0.25,0.268,0.172,0.185,0.266
"Achiridae_spp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0
"Adi_xenica",0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0.074,0
"Aet_narinari",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
"Albula_spp",0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.003,0,0.002,0,0,0.002,0,0,0,0.002
"Alu_schoepfii",0,0,0,0,0,2,3,4,3,0,1,1,3,0,1,0,0,0,0,0,0.006,0.013,0.009,0.008,0,0.002,0.002,0.007,0,0.002
"Ana_criniger",0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.005,0,0.002,0.002,0.002,0,0
"Anc_cubana",0,0,0,7,2,36,11331,1629,54,0,3,150,128,0,3,0,0,0,0.011,0.01,0.102,47.609,3.636,0.136,0,0.006,0.291,0.302,0,0.005
"Anc_hepsetus",1034,37,0,3802,36,15,96,460,369,0,274,203,449,0,864,8.838,0.649,0,5.735,0.181,0.043,0.403,1.027,0.932,0,0.531,0.394,1.059,0,1.428
"Anc_lyolepis",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0
"Anc_mitchilli",30915,2726,2470,59850,3299,11747,8878,19343,35480,1254,41950,49719,60900,1899,78148,264.231,47.825,205.833,90.271,16.578,33.372,37.303,43.176,89.596,209,81.298,96.542,143.632,70.333,129.17
"Anchoa_spp",5,0,0,4,0,0,0,1,80,0,1,0,2300,0,5,0.043,0,0,0.006,0,0,0,0.002,0.202,0,0.002,0,5.425,0,0.008
"Arc_probatocephalus",14,125,6,132,71,71,3,38,344,12,190,158,346,80,72,0.12,2.193,0.5,0.199,0.357,0.202,0.013,0.085,0.869,2,0.368,0.307,0.816,2.963,0.119
"Argopecten_spp",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0
"Ari_felis",104,4,0,462,17,2,30,117,45,0,127,129,132,43,880,0.889,0.07,0,0.697,0.085,0.006,0.126,0.261,0.114,0,0.246,0.25,0.311,1.593,1.455
