Scientificname,1999_sum,2001_sum,2004_sum,2006_sum,2008_sum,2010_sum,2012_sum,2014_sum,2016_sum,2018_sum,2020_sum,2022_sum,1999_mean,2001_mean,2004_mean,2006_mean,2008_mean,2010_mean,2012_mean,2014_mean,2016_mean,2018_mean,2020_mean,2022_mean
Acanthostracion quadricornis,11,21,48,30,36,34,26,15,9,7,16,26,0.062,0.055,0.086,0.077,0.092,0.086,0.067,0.039,0.024,0.018,0.042,0.071
Achirus lineatus,54,122,75,62,84,39,54,30,130,121,89,94,0.303,0.319,0.135,0.159,0.215,0.099,0.14,0.078,0.349,0.313,0.231,0.255
Achiridae spp.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0
Fundulus xenicus,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0.003,0,0.003,0,0,0,0,0.005
Aetobatus narinari,1,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0
Albula spp.,0,3,0,0,0,0,0,0,0,0,0,1,0,0.008,0,0,0,0,0,0,0,0,0,0.003
Aluterus schoepfii,0,1,1,4,2,1,0,0,1,2,1,5,0,0.003,0.002,0.01,0.005,0.003,0,0,0.003,0.005,0.003,0.014
Anarchopterus criniger,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0.003,0,0,0.005,0,0,0.005,0,0
Anchoa cubana,0,132,16,0,0,1633,143,11385,0,1,31,2,0,0.346,0.029,0,0,4.134,0.37,29.419,0,0.003,0.081,0.005
Anchoa hepsetus,417,204,1736,50,1,3016,1667,205,51,172,69,51,2.343,0.534,3.128,0.128,0.003,7.635,4.319,0.53,0.137,0.446,0.179,0.139
Anchoa lyolepis,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
Anchoa mitchilli,40469,55452,45637,29609,27330,35970,34391,23775,28600,43403,14773,29169,227.354,145.162,82.229,75.921,70.077,91.063,89.096,61.434,76.676,112.443,38.371,79.264
Anchoa spp.,0,327,2051,2,0,2,1,2,3,1,0,7,0,0.856,3.695,0.005,0,0.005,0.003,0.005,0.008,0.003,0,0.019
